torneo,fecha,dia,local,visitante,goles_local,goles_visitante,amarillas_local,rojas_indirectas_local,rojas_directas_local,amarilla_mas_roja_local,amarillas_visitante,rojas_indirectas_visitante,rojas_directas_visitante,amarilla_mas_roja_visitante
Mundial 2026,Fecha 2,Jun 21 2026,España-H,Arabia Saudita-H,4,0,0,0,0,0,2,0,0,0
Mundial 2026,Fecha 2,Jun 21 2026,Bélgica-G,Irán-G,0,0,1,0,1,0,1,0,0,0
Mundial 2026,Fecha 2,Jun 21 2026,Uruguay-H,Cabo Verde-H,2,2,2,0,0,0,2,0,0,0
Mundial 2026,Fecha 2,Jun 21 2026,Nueva Zelanda-G,Egipto-G,1,3,2,0,0,0,1,0,0,0
Mundial 2026,Fecha 2,Jun 22 2026,Argentina-J,Austria-J,2,0,2,0,0,0,2,0,0,0
Mundial 2026,Fecha 2,Jun 22 2026,Francia-I,Irak-I,3,0,0,0,0,0,1,0,0,0
Mundial 2026,Fecha 2,Jun 22 2026,Noruega-I,Senegal-I,3,2,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 2,Jun 22 2026,Jordania-J,Argelia-J,1,2,1,0,0,0,1,0,0,0
Mundial 2026,Fecha 2,Jun 23 2026,Portugal-K,Uzbekistán-K,4,0,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 2,Jun 23 2026,Inglaterra-L,Ghana-L,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 2,Jun 23 2026,Panamá-L,Croacia-L,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 2,Jun 23 2026,Colombia-K,RD de Congo-K,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 24 2026,Suiza-B,Canadá-B,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 24 2026,Bosnia y Herzegovina-B,Qatar-B,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 24 2026,Marruecos-C,Haití-C,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 24 2026,Brasil-C,Escocia-C,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 24 2026,Sudáfrica-A,Corea del Sur-A,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 24 2026,República Checa-A,México-A,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 25 2026,Curazao-E,Costa de Marfil-E,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 25 2026,Ecuador-E,Alemania-E,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 25 2026,Japón-F,Suecia-F,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 25 2026,Túnez-F,Países Bajos-F,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 25 2026,Paraguay-D,Australia-D,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 25 2026,Turquía-D,Estados Unidos-D,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 26 2026,Noruega-I,Francia-I,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 26 2026,Senegal-I,Irak-I,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 26 2026,Cabo Verde-H,Arabia Saudita-H,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 26 2026,Uruguay-H,España-H,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 26 2026,Egipto-G,Irán-G,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 26 2026,Nueva Zelanda-G,Bélgica-G,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 27 2026,Croacia-L,Ghana-L,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 27 2026,Panamá-L,Inglaterra-L,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 27 2026,Colombia-K,Portugal-K,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 27 2026,RD de Congo-K,Uzbekistán-K,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 27 2026,Argelia-J,Austria-J,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 3,Jun 27 2026,Jordania-J,Argentina-J,99,99,0,0,0,0,0,0,0,0
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
