torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Torneo Sudamericana 2026,Fecha 4,May 07 2026,OHiggins-C,Sao Paulo-C,0,0
Torneo Sudamericana 2026,Fecha 4,May 07 2026,Blooming-H,Bragantino-H,0,6
Torneo Sudamericana 2026,Fecha 4,May 07 2026,Carabobo-H,River Plate-H,1,2
Torneo Sudamericana 2026,Fecha 5,May 19 2026,Audax Italiano-G,Barracas Central-G,99,99
Torneo Sudamericana 2026,Fecha 5,May 19 2026,Montevideo City Torque-F,Riestra-F,99,99
Torneo Sudamericana 2026,Fecha 5,May 19 2026,Sao Paulo-C,Millonarios-C,99,99
Torneo Sudamericana 2026,Fecha 5,May 19 2026,America De Cali-A,Tigre-A,99,99
Torneo Sudamericana 2026,Fecha 5,May 19 2026,Deportivo Cuenca-D,Deportivo Recoleta-D,99,99
Torneo Sudamericana 2026,Fecha 5,May 20 2026,Boston River-C,OHiggins-C,99,99
Torneo Sudamericana 2026,Fecha 5,May 20 2026,Olimpia-G,Vasco Da Gama-G,99,99
Torneo Sudamericana 2026,Fecha 5,May 20 2026,Santos-D,San Lorenzo-D,99,99
Torneo Sudamericana 2026,Fecha 5,May 20 2026,Gremio-F,Palestino-F,99,99
Torneo Sudamericana 2026,Fecha 5,May 20 2026,Independiente Petrolero-E,Botafogo-E,99,99
Torneo Sudamericana 2026,Fecha 5,May 20 2026,River Plate-H,Bragantino-H,99,99
Torneo Sudamericana 2026,Fecha 5,May 21 2026,Academia Puerto Cabello-B,Juventud-B,99,99
Torneo Sudamericana 2026,Fecha 5,May 21 2026,Atletico Mineiro-B,Cienciano-B,99,99
Torneo Sudamericana 2026,Fecha 5,May 21 2026,Racing-E,Caracas-E,99,99
Torneo Sudamericana 2026,Fecha 5,May 21 2026,Blooming-H,Carabobo-H,99,99
Torneo Sudamericana 2026,Fecha 5,May 21 2026,Macara-A,Alianza Atletico-A,99,99
Torneo Sudamericana 2026,Fecha 6,May 26 2026,Gremio-F,Montevideo City Torque-F,99,99
Torneo Sudamericana 2026,Fecha 6,May 26 2026,Millonarios-C,OHiggins-C,99,99
Torneo Sudamericana 2026,Fecha 6,May 26 2026,Palestino-F,Riestra-F,99,99
Torneo Sudamericana 2026,Fecha 6,May 26 2026,Sao Paulo-C,Boston River-C,99,99
Torneo Sudamericana 2026,Fecha 6,May 26 2026,San Lorenzo-D,Deportivo Recoleta-D,99,99
Torneo Sudamericana 2026,Fecha 6,May 26 2026,Santos-D,Deportivo Cuenca-D,99,99
Torneo Sudamericana 2026,Fecha 6,May 27 2026,Atletico Mineiro-B,Academia Puerto Cabello-B,99,99
Torneo Sudamericana 2026,Fecha 6,May 27 2026,Caracas-E,Botafogo-E,99,99
Torneo Sudamericana 2026,Fecha 6,May 27 2026,Cienciano-B,Juventud-B,99,99
Torneo Sudamericana 2026,Fecha 6,May 27 2026,Racing-E,Independiente Petrolero-E,99,99
Torneo Sudamericana 2026,Fecha 6,May 27 2026,Olimpia-G,Audax Italiano-G,99,99
Torneo Sudamericana 2026,Fecha 6,May 27 2026,Bragantino-H,Carabobo-H,99,99
Torneo Sudamericana 2026,Fecha 6,May 27 2026,River Plate-H,Blooming-H,99,99
Torneo Sudamericana 2026,Fecha 6,May 27 2026,Vasco Da Gama-G,Barracas Central-G,99,99
Torneo Sudamericana 2026,Fecha 6,May 28 2026,America De Cali-A,Macara-A,99,99
Torneo Sudamericana 2026,Fecha 6,May 28 2026,Tigre-A,Alianza Atletico-A,99,99
