pais,torneo,fecha,dia,local,visitante,goles_local,goles_visitante
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 03 2024,alianzalima-A,fluminensefc-A,1,1
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 03 2024,colo-colo-A,cerroporteño-A,1,0
libertadores2024,Torneo Libertadores 2024,Fecha 2,Apr 10 2024,cerroporteño-A,alianzalima-A,1,0
libertadores2024,Torneo Libertadores 2024,Fecha 3,Apr 23 2024,colo-colo-A,alianzalima-A,0,0
libertadores2024,Torneo Libertadores 2024,Fecha 3,Apr 25 2024,cerroporteño-A,fluminensefc-A,0,0
libertadores2024,Torneo Libertadores 2024,Fecha 4,May 08 2024,alianzalima-A,cerroporteño-A,1,1
libertadores2024,Torneo Libertadores 2024,Fecha 2,May 09 2024,colo-colo-A,fluminensefc-A,0,1
libertadores2024,Torneo Libertadores 2024,Fecha 5,May 16 2024,fluminensefc-A,cerroporteño-A,2,1
libertadores2024,Torneo Libertadores 2024,Fecha 6,May 29 2024,fluminensefc-A,alianzalima-A,3,2
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 02 2024,cobresal-B,barcelonasc-B,1,1
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 04 2024,talleres-B,sãopaulofc-B,2,1
libertadores2024,Torneo Libertadores 2024,Fecha 2,Apr 25 2024,barcelonasc-B,sãopaulofc-B,0,2
libertadores2024,Torneo Libertadores 2024,Fecha 3,May 08 2024,cobresal-B,sãopaulofc-B,1,3
libertadores2024,Torneo Libertadores 2024,Fecha 3,May 08 2024,talleres-B,barcelonasc-B,3,1
libertadores2024,Torneo Libertadores 2024,Fecha 4,May 16 2024,sãopaulofc-B,barcelonasc-B,0,0
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 02 2024,thestrongest-C,grêmiofbpa-C,2,0
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 03 2024,huachipato-C,estudiantesdelp-C,1,1
libertadores2024,Torneo Libertadores 2024,Fecha 2,Apr 09 2024,estudiantesdelp-C,thestrongest-C,2,1
libertadores2024,Torneo Libertadores 2024,Fecha 2,Apr 09 2024,grêmiofbpa-C,huachipato-C,0,2
libertadores2024,Torneo Libertadores 2024,Fecha 3,Apr 23 2024,estudiantesdelp-C,grêmiofbpa-C,0,1
libertadores2024,Torneo Libertadores 2024,Fecha 3,Apr 24 2024,huachipato-C,thestrongest-C,0,0
libertadores2024,Torneo Libertadores 2024,Fecha 4,May 09 2024,thestrongest-C,estudiantesdelp-C,1,0
libertadores2024,Torneo Libertadores 2024,Fecha 5,May 15 2024,thestrongest-C,huachipato-C,4,0
libertadores2024,Torneo Libertadores 2024,Fecha 6,May 29 2024,grêmiofbpa-C,thestrongest-C,4,0
libertadores2024,Torneo Libertadores 2024,Fecha 4,Jun 04 2024,huachipato-C,grêmiofbpa-C,0,1
libertadores2024,Torneo Libertadores 2024,Fecha 5,Jun 08 2024,grêmiofbpa-C,estudiantesdelp-C,1,1
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 02 2024,u.dedeportes-D,lduquito-D,2,1
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 03 2024,botafogo-D,juniorfc-D,1,3
libertadores2024,Torneo Libertadores 2024,Fecha 2,Apr 09 2024,juniorfc-D,u.dedeportes-D,1,1
libertadores2024,Torneo Libertadores 2024,Fecha 3,Apr 23 2024,juniorfc-D,lduquito-D,1,1
libertadores2024,Torneo Libertadores 2024,Fecha 3,Apr 24 2024,botafogo-D,u.dedeportes-D,3,1
libertadores2024,Torneo Libertadores 2024,Fecha 4,May 07 2024,u.dedeportes-D,juniorfc-D,1,1
libertadores2024,Torneo Libertadores 2024,Fecha 2,May 08 2024,botafogo-D,lduquito-D,2,1
libertadores2024,Torneo Libertadores 2024,Fecha 5,May 14 2024,lduquito-D,juniorfc-D,0,1
libertadores2024,Torneo Libertadores 2024,Fecha 6,May 28 2024,lduquito-D,u.dedeportes-D,2,0
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 02 2024,millonariosfc-E,crflamengo-E,1,1
libertadores2024,Torneo Libertadores 2024,Fecha 2,Apr 11 2024,bolívar-E,millonariosfc-E,3,2
libertadores2024,Torneo Libertadores 2024,Fecha 3,Apr 24 2024,bolívar-E,crflamengo-E,2,1
libertadores2024,Torneo Libertadores 2024,Fecha 3,Apr 25 2024,palestino-E,millonariosfc-E,3,1
libertadores2024,Torneo Libertadores 2024,Fecha 2,May 07 2024,palestino-E,crflamengo-E,1,0
libertadores2024,Torneo Libertadores 2024,Fecha 4,May 28 2024,crflamengo-E,millonariosfc-E,3,0
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 03 2024,sanlorenzo-F,sepalmeiras-F,1,1
libertadores2024,Torneo Libertadores 2024,Fecha 1,Apr 04 2024,liverpool-F,ind.delvalle-F,1,1
