pais,torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Argentina,Torneo Campeonato 1931,Fecha 1,May 31 1931,Atlanta,River Plate,0,1
Argentina,Torneo Campeonato 1931,Fecha 1,May 31 1931,Boca Juniors,Chacarita Juniors,0,0
Argentina,Torneo Campeonato 1931,Fecha 1,May 31 1931,Estudiantes,Talleres (RdE),3,0
Argentina,Torneo Campeonato 1931,Fecha 1,May 31 1931,Ferro,Argentinos Juniors,2,0
Argentina,Torneo Campeonato 1931,Fecha 1,May 31 1931,Lanús,Gimnasia,1,2
Argentina,Torneo Campeonato 1931,Fecha 1,May 31 1931,Platense,Vélez Sarsfield,1,0
Argentina,Torneo Campeonato 1931,Fecha 1,May 31 1931,Quilmes,Huracán,0,4
Argentina,Torneo Campeonato 1931,Fecha 1,May 31 1931,San Lorenzo,Tigre,4,2
Argentina,Torneo Campeonato 1931,Fecha 1,Jan 9 1932,Independiente,Racing,1,4
Argentina,Torneo Campeonato 1931,Fecha 2,Jun 4 1931,Argentinos Juniors,Independiente,1,1
Argentina,Torneo Campeonato 1931,Fecha 2,Jun 4 1931,Chacarita Juniors,Atlanta,1,3
Argentina,Torneo Campeonato 1931,Fecha 2,Jun 4 1931,Gimnasia,Boca Juniors,3,2
Argentina,Torneo Campeonato 1931,Fecha 2,Jun 4 1931,Huracán,Ferro,0,1
Argentina,Torneo Campeonato 1931,Fecha 2,Jun 4 1931,Quilmes,Lanús,4,1
Argentina,Torneo Campeonato 1931,Fecha 2,Jun 4 1931,Racing,Platense,5,1
Argentina,Torneo Campeonato 1931,Fecha 2,Jun 4 1931,River Plate,Estudiantes,2,1
Argentina,Torneo Campeonato 1931,Fecha 2,Jun 4 1931,Talleres (RdE),San Lorenzo,3,1
Argentina,Torneo Campeonato 1931,Fecha 2,Jun 4 1931,Vélez Sarsfield,Tigre,3,2
Argentina,Torneo Campeonato 1931,Fecha 3,Jun 7 1931,Atlanta,Gimnasia,0,0
Argentina,Torneo Campeonato 1931,Fecha 3,Jun 7 1931,Boca Juniors,Quilmes,5,1
Argentina,Torneo Campeonato 1931,Fecha 3,Jun 7 1931,Estudiantes,Chacarita Juniors,7,0
Argentina,Torneo Campeonato 1931,Fecha 3,Jun 7 1931,Ferro,Lanús,3,0
Argentina,Torneo Campeonato 1931,Fecha 3,Jun 7 1931,Independiente,Huracán,3,1
Argentina,Torneo Campeonato 1931,Fecha 3,Jun 7 1931,Platense,Argentinos Juniors,0,2
Argentina,Torneo Campeonato 1931,Fecha 3,Jun 7 1931,San Lorenzo,Vélez Sarsfield,3,0
Argentina,Torneo Campeonato 1931,Fecha 3,Jun 7 1931,Talleres (RdE),River Plate,1,3
Argentina,Torneo Campeonato 1931,Fecha 3,Jun 7 1931,Tigre,Racing,1,0
Argentina,Torneo Campeonato 1931,Fecha 4,Jun 14 1931,Argentinos Juniors,Tigre,1,0
Argentina,Torneo Campeonato 1931,Fecha 4,Jun 14 1931,Chacarita Juniors,Talleres (RdE),1,3
Argentina,Torneo Campeonato 1931,Fecha 4,Jun 14 1931,Ferro,Boca Juniors,1,2
Argentina,Torneo Campeonato 1931,Fecha 4,Jun 14 1931,Gimnasia,Estudiantes,1,1
Argentina,Torneo Campeonato 1931,Fecha 4,Jun 14 1931,Huracán,Platense,1,0
Argentina,Torneo Campeonato 1931,Fecha 4,Jun 14 1931,Lanús,Independiente,0,2
Argentina,Torneo Campeonato 1931,Fecha 4,Jun 14 1931,Quilmes,Atlanta,1,0
Argentina,Torneo Campeonato 1931,Fecha 4,Jun 14 1931,Racing,Vélez Sarsfield,6,0
