pais,torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Argentina,Torneo Campeonato 1931,Fecha 4,Jun 14 1931,River Plate,San Lorenzo,2,0
Argentina,Torneo Campeonato 1931,Fecha 5,Jun 28 1931,Atlanta,Ferro,1,4
Argentina,Torneo Campeonato 1931,Fecha 5,Jun 28 1931,Estudiantes,Quilmes,2,0
Argentina,Torneo Campeonato 1931,Fecha 5,Jun 28 1931,Independiente,Boca Juniors,2,3
Argentina,Torneo Campeonato 1931,Fecha 5,Jun 28 1931,Platense,Lanús,1,2
Argentina,Torneo Campeonato 1931,Fecha 5,Jun 28 1931,River Plate,Chacarita Juniors,2,3
Argentina,Torneo Campeonato 1931,Fecha 5,Jun 28 1931,San Lorenzo,Racing,5,1
Argentina,Torneo Campeonato 1931,Fecha 5,Jun 28 1931,Talleres (RdE),Gimnasia,1,2
Argentina,Torneo Campeonato 1931,Fecha 5,Jun 28 1931,Tigre,Huracán,2,0
Argentina,Torneo Campeonato 1931,Fecha 5,Jun 28 1931,Vélez Sarsfield,Argentinos Juniors,1,0
Argentina,Torneo Campeonato 1931,Fecha 6,Jul 5 1931,Argentinos Juniors,Racing,4,3
Argentina,Torneo Campeonato 1931,Fecha 6,Jul 5 1931,Boca Juniors,Platense,4,1
Argentina,Torneo Campeonato 1931,Fecha 6,Jul 5 1931,Chacarita Juniors,San Lorenzo,0,1
Argentina,Torneo Campeonato 1931,Fecha 6,Jul 5 1931,Ferro,Estudiantes,2,5
Argentina,Torneo Campeonato 1931,Fecha 6,Jul 5 1931,Gimnasia,River Plate,0,1
Argentina,Torneo Campeonato 1931,Fecha 6,Jul 5 1931,Huracán,Vélez Sarsfield,1,0
Argentina,Torneo Campeonato 1931,Fecha 6,Jul 5 1931,Independiente,Atlanta,6,1
Argentina,Torneo Campeonato 1931,Fecha 6,Jul 5 1931,Lanús,Tigre,0,0
Argentina,Torneo Campeonato 1931,Fecha 6,Jul 5 1931,Quilmes,Talleres (RdE),1,0
Argentina,Torneo Campeonato 1931,Fecha 7,Jul 9 1931,Chacarita Juniors,Gimnasia,1,0
Argentina,Torneo Campeonato 1931,Fecha 7,Jul 9 1931,Estudiantes,Independiente,5,2
Argentina,Torneo Campeonato 1931,Fecha 7,Jul 9 1931,Platense,Atlanta,3,0
Argentina,Torneo Campeonato 1931,Fecha 7,Jul 9 1931,Racing,Huracán,1,0
Argentina,Torneo Campeonato 1931,Fecha 7,Jul 9 1931,River Plate,Quilmes,1,2
Argentina,Torneo Campeonato 1931,Fecha 7,Jul 9 1931,San Lorenzo,Argentinos Juniors,4,0
Argentina,Torneo Campeonato 1931,Fecha 7,Jul 9 1931,Talleres (RdE),Ferro,3,2
Argentina,Torneo Campeonato 1931,Fecha 7,Jul 9 1931,Tigre,Boca Juniors,2,2
Argentina,Torneo Campeonato 1931,Fecha 7,Jul 9 1931,Vélez Sarsfield,Lanús,3,3
Argentina,Torneo Campeonato 1931,Fecha 8,Jul 12 1931,Atlanta,Tigre,2,2
Argentina,Torneo Campeonato 1931,Fecha 8,Jul 12 1931,Boca Juniors,Vélez Sarsfield,4,2
Argentina,Torneo Campeonato 1931,Fecha 8,Jul 12 1931,Ferro,River Plate,0,0
Argentina,Torneo Campeonato 1931,Fecha 8,Jul 12 1931,Gimnasia,San Lorenzo,2,2
Argentina,Torneo Campeonato 1931,Fecha 8,Jul 12 1931,Huracán,Argentinos Juniors,0,1
Argentina,Torneo Campeonato 1931,Fecha 8,Jul 12 1931,Independiente,Talleres (RdE),1,0
Argentina,Torneo Campeonato 1931,Fecha 8,Jul 12 1931,Lanús,Racing,3,0
Argentina,Torneo Campeonato 1931,Fecha 8,Jul 12 1931,Platense,Estudiantes,0,4
Argentina,Torneo Campeonato 1931,Fecha 8,Jul 12 1931,Quilmes,Chacarita Juniors,6,1
Argentina,Torneo Campeonato 1931,Fecha 9,Jul 19 1931,Argentinos Juniors,Lanús,1,0
Argentina,Torneo Campeonato 1931,Fecha 9,Jul 19 1931,Chacarita Juniors,Ferro,4,3
Argentina,Torneo Campeonato 1931,Fecha 9,Jul 19 1931,Gimnasia,Quilmes,1,4
Argentina,Torneo Campeonato 1931,Fecha 9,Jul 19 1931,Racing,Boca Juniors,1,2
Argentina,Torneo Campeonato 1931,Fecha 9,Jul 19 1931,River Plate,Independiente,1,0
Argentina,Torneo Campeonato 1931,Fecha 9,Jul 19 1931,San Lorenzo,Huracán,3,0
Argentina,Torneo Campeonato 1931,Fecha 9,Jul 19 1931,Talleres (RdE),Platense,1,0
Argentina,Torneo Campeonato 1931,Fecha 9,Jul 19 1931,Tigre,Estudiantes,1,0
Argentina,Torneo Campeonato 1931,Fecha 9,Jul 19 1931,Vélez Sarsfield,Atlanta,6,1
Argentina,Torneo Campeonato 1931,Fecha 10,Jul 26 1931,Atlanta,Racing,1,0
Argentina,Torneo Campeonato 1931,Fecha 10,Jul 26 1931,Boca Juniors,Argentinos Juniors,2,1
Argentina,Torneo Campeonato 1931,Fecha 10,Jul 26 1931,Estudiantes,Vélez Sarsfield,2,1
Argentina,Torneo Campeonato 1931,Fecha 10,Jul 26 1931,Ferro,Gimnasia,0,0
Argentina,Torneo Campeonato 1931,Fecha 10,Jul 26 1931,Independiente,Chacarita Juniors,1,1
Argentina,Torneo Campeonato 1931,Fecha 10,Jul 26 1931,Lanús,Huracán,3,2
Argentina,Torneo Campeonato 1931,Fecha 10,Jul 26 1931,Platense,River Plate,2,1
Argentina,Torneo Campeonato 1931,Fecha 10,Jul 26 1931,San Lorenzo,Quilmes,5,2
Argentina,Torneo Campeonato 1931,Fecha 10,Jul 26 1931,Tigre,Talleres (RdE),2,0
Argentina,Torneo Campeonato 1931,Fecha 11,Aug 2 1931,Argentinos Juniors,Atlanta,1,1
Argentina,Torneo Campeonato 1931,Fecha 11,Aug 2 1931,Chacarita Juniors,Platense,0,0
Argentina,Torneo Campeonato 1931,Fecha 11,Aug 2 1931,Gimnasia,Independiente,2,1
Argentina,Torneo Campeonato 1931,Fecha 11,Aug 2 1931,Huracán,Boca Juniors,1,2
Argentina,Torneo Campeonato 1931,Fecha 11,Aug 2 1931,Lanús,San Lorenzo,1,4
Argentina,Torneo Campeonato 1931,Fecha 11,Aug 2 1931,Quilmes,Ferro,2,1
Argentina,Torneo Campeonato 1931,Fecha 11,Aug 2 1931,River Plate,Tigre,3,0
Argentina,Torneo Campeonato 1931,Fecha 11,Aug 2 1931,Vélez Sarsfield,Talleres (RdE),2,1
Argentina,Torneo Campeonato 1931,Fecha 11,Nov 4 1931,Racing,Estudiantes,0,1
Argentina,Torneo Campeonato 1931,Fecha 12,Aug 9 1931,Atlanta,Huracán,0,0
Argentina,Torneo Campeonato 1931,Fecha 12,Aug 9 1931,Boca Juniors,Lanús,6,0
Argentina,Torneo Campeonato 1931,Fecha 12,Aug 9 1931,Estudiantes,Argentinos Juniors,5,1
Argentina,Torneo Campeonato 1931,Fecha 12,Aug 9 1931,Independiente,Quilmes,1,1
Argentina,Torneo Campeonato 1931,Fecha 12,Aug 9 1931,Platense,Gimnasia,4,1
Argentina,Torneo Campeonato 1931,Fecha 12,Aug 9 1931,San Lorenzo,Ferro,5,2
Argentina,Torneo Campeonato 1931,Fecha 12,Aug 9 1931,Talleres (RdE),Racing,0,2
Argentina,Torneo Campeonato 1931,Fecha 12,Aug 9 1931,Tigre,Chacarita Juniors,3,3
Argentina,Torneo Campeonato 1931,Fecha 12,Aug 9 1931,Vélez Sarsfield,River Plate,2,3
Argentina,Torneo Campeonato 1931,Fecha 13,Aug 16 1931,Argentinos Juniors,Talleres (RdE),3,0
Argentina,Torneo Campeonato 1931,Fecha 13,Aug 16 1931,Boca Juniors,San Lorenzo,0,2
Argentina,Torneo Campeonato 1931,Fecha 13,Aug 16 1931,Chacarita Juniors,Vélez Sarsfield,1,3
Argentina,Torneo Campeonato 1931,Fecha 13,Aug 16 1931,Ferro,Independiente,1,1
Argentina,Torneo Campeonato 1931,Fecha 13,Aug 16 1931,Gimnasia,Tigre,3,0
Argentina,Torneo Campeonato 1931,Fecha 13,Aug 16 1931,Huracán,Estudiantes,2,1
Argentina,Torneo Campeonato 1931,Fecha 13,Aug 16 1931,Lanús,Atlanta,2,1
Argentina,Torneo Campeonato 1931,Fecha 13,Aug 16 1931,Quilmes,Platense,1,1
Argentina,Torneo Campeonato 1931,Fecha 13,Aug 16 1931,Racing,River Plate,1,1
Argentina,Torneo Campeonato 1931,Fecha 14,Aug 30 1931,Atlanta,Boca Juniors,1,3
Argentina,Torneo Campeonato 1931,Fecha 14,Aug 30 1931,Estudiantes,Lanús,8,0
Argentina,Torneo Campeonato 1931,Fecha 14,Aug 30 1931,Platense,Ferro,4,1
Argentina,Torneo Campeonato 1931,Fecha 14,Aug 30 1931,Racing,Chacarita Juniors,3,2
Argentina,Torneo Campeonato 1931,Fecha 14,Aug 30 1931,River Plate,Argentinos Juniors,4,3
Argentina,Torneo Campeonato 1931,Fecha 14,Aug 30 1931,San Lorenzo,Independiente,1,1
Argentina,Torneo Campeonato 1931,Fecha 14,Aug 30 1931,Talleres (RdE),Huracán,2,4
Argentina,Torneo Campeonato 1931,Fecha 14,Aug 30 1931,Tigre,Quilmes,4,1
Argentina,Torneo Campeonato 1931,Fecha 14,Aug 30 1931,Vélez Sarsfield,Gimnasia,1,1
Argentina,Torneo Campeonato 1931,Fecha 15,Sep 5 1931,Argentinos Juniors,Chacarita Juniors,0,2
Argentina,Torneo Campeonato 1931,Fecha 15,Sep 5 1931,Atlanta,San Lorenzo,1,2
Argentina,Torneo Campeonato 1931,Fecha 15,Sep 5 1931,Boca Juniors,Estudiantes,2,2
Argentina,Torneo Campeonato 1931,Fecha 15,Sep 5 1931,Ferro,Tigre,4,3
Argentina,Torneo Campeonato 1931,Fecha 15,Sep 5 1931,Gimnasia,Racing,1,1
Argentina,Torneo Campeonato 1931,Fecha 15,Sep 5 1931,Huracán,River Plate,1,1
Argentina,Torneo Campeonato 1931,Fecha 15,Sep 5 1931,Independiente,Platense,2,0
Argentina,Torneo Campeonato 1931,Fecha 15,Sep 5 1931,Lanús,Talleres (RdE),1,0
Argentina,Torneo Campeonato 1931,Fecha 15,Sep 5 1931,Quilmes,Vélez Sarsfield,2,3
Argentina,Torneo Campeonato 1931,Fecha 16,Sep 12 1931,Argentinos Juniors,Gimnasia,1,1
Argentina,Torneo Campeonato 1931,Fecha 16,Sep 12 1931,Chacarita Juniors,Huracán,3,1
Argentina,Torneo Campeonato 1931,Fecha 16,Sep 12 1931,Estudiantes,Atlanta,6,1
Argentina,Torneo Campeonato 1931,Fecha 16,Sep 12 1931,Racing,Quilmes,1,1
Argentina,Torneo Campeonato 1931,Fecha 16,Sep 12 1931,River Plate,Lanús,4,0
Argentina,Torneo Campeonato 1931,Fecha 16,Sep 12 1931,San Lorenzo,Platense,4,3
Argentina,Torneo Campeonato 1931,Fecha 16,Sep 12 1931,Talleres (RdE),Boca Juniors,0,2
Argentina,Torneo Campeonato 1931,Fecha 16,Sep 12 1931,Tigre,Independiente,1,4
Argentina,Torneo Campeonato 1931,Fecha 16,Sep 12 1931,Vélez Sarsfield,Ferro,1,1
Argentina,Torneo Campeonato 1931,Fecha 17,Sep 19 1931,Ferro,Racing,2,1
Argentina,Torneo Campeonato 1931,Fecha 17,Sep 20 1931,Atlanta,Talleres (RdE),2,4
Argentina,Torneo Campeonato 1931,Fecha 17,Sep 20 1931,Estudiantes,San Lorenzo,1,0
Argentina,Torneo Campeonato 1931,Fecha 17,Sep 20 1931,Huracán,Gimnasia,1,1
Argentina,Torneo Campeonato 1931,Fecha 17,Sep 20 1931,Independiente,Vélez Sarsfield,1,0
Argentina,Torneo Campeonato 1931,Fecha 17,Sep 20 1931,Lanús,Chacarita Juniors,1,2
Argentina,Torneo Campeonato 1931,Fecha 17,Sep 20 1931,Platense,Tigre,3,1
Argentina,Torneo Campeonato 1931,Fecha 17,Sep 20 1931,Quilmes,Argentinos Juniors,0,1
Argentina,Torneo Campeonato 1931,Fecha 17,Oct 14 1931,Boca Juniors,River Plate,1,0
Argentina,Torneo Campeonato 1931,Fecha 18,Sep 26 1931,Talleres (RdE),Estudiantes,4,4
Argentina,Torneo Campeonato 1931,Fecha 18,Sep 27 1931,Argentinos Juniors,Ferro,3,1
Argentina,Torneo Campeonato 1931,Fecha 18,Sep 27 1931,Chacarita Juniors,Boca Juniors,3,1
Argentina,Torneo Campeonato 1931,Fecha 18,Sep 27 1931,Gimnasia,Lanús,3,5
Argentina,Torneo Campeonato 1931,Fecha 18,Sep 27 1931,Huracán,Quilmes,3,1
Argentina,Torneo Campeonato 1931,Fecha 18,Sep 27 1931,Racing,Independiente,7,4
Argentina,Torneo Campeonato 1931,Fecha 18,Sep 27 1931,River Plate,Atlanta,1,0
Argentina,Torneo Campeonato 1931,Fecha 18,Sep 27 1931,Tigre,San Lorenzo,3,2
Argentina,Torneo Campeonato 1931,Fecha 18,Sep 27 1931,Vélez Sarsfield,Platense,2,1
Argentina,Torneo Campeonato 1931,Fecha 19,Oct 4 1931,Atlanta,Chacarita Juniors,1,5
Argentina,Torneo Campeonato 1931,Fecha 19,Oct 4 1931,Boca Juniors,Gimnasia,5,0
Argentina,Torneo Campeonato 1931,Fecha 19,Oct 4 1931,Estudiantes,River Plate,2,3
Argentina,Torneo Campeonato 1931,Fecha 19,Oct 4 1931,Ferro,Huracán,2,6
Argentina,Torneo Campeonato 1931,Fecha 19,Oct 4 1931,Independiente,Argentinos Juniors,3,2
Argentina,Torneo Campeonato 1931,Fecha 19,Oct 4 1931,Lanús,Quilmes,2,1
Argentina,Torneo Campeonato 1931,Fecha 19,Oct 4 1931,Platense,Racing,0,1
Argentina,Torneo Campeonato 1931,Fecha 19,Oct 4 1931,San Lorenzo,Talleres (RdE),0,4
Argentina,Torneo Campeonato 1931,Fecha 19,Oct 4 1931,Tigre,Vélez Sarsfield,1,2
Argentina,Torneo Campeonato 1931,Fecha 20,Oct 11 1931,Argentinos Juniors,Platense,0,1
Argentina,Torneo Campeonato 1931,Fecha 20,Oct 11 1931,Chacarita Juniors,Estudiantes,5,1
Argentina,Torneo Campeonato 1931,Fecha 20,Oct 11 1931,Gimnasia,Atlanta,0,0
Argentina,Torneo Campeonato 1931,Fecha 20,Oct 11 1931,Huracán,Independiente,5,1
Argentina,Torneo Campeonato 1931,Fecha 20,Oct 11 1931,Quilmes,Boca Juniors,1,2
Argentina,Torneo Campeonato 1931,Fecha 20,Oct 11 1931,Racing,Tigre,2,2
Argentina,Torneo Campeonato 1931,Fecha 20,Oct 11 1931,River Plate,Talleres (RdE),1,1
Argentina,Torneo Campeonato 1931,Fecha 20,Oct 11 1931,Vélez Sarsfield,San Lorenzo,4,3
Argentina,Torneo Campeonato 1931,Fecha 20,Nov 4 1931,Lanús,Ferro,2,3
Argentina,Torneo Campeonato 1931,Fecha 21,Oct 18 1931,Atlanta,Quilmes,0,1
Argentina,Torneo Campeonato 1931,Fecha 21,Oct 18 1931,Boca Juniors,Ferro,3,3
Argentina,Torneo Campeonato 1931,Fecha 21,Oct 18 1931,Estudiantes,Gimnasia,2,3
Argentina,Torneo Campeonato 1931,Fecha 21,Oct 18 1931,Independiente,Lanús,4,1
Argentina,Torneo Campeonato 1931,Fecha 21,Oct 18 1931,Platense,Huracán,3,1
Argentina,Torneo Campeonato 1931,Fecha 21,Oct 18 1931,San Lorenzo,River Plate,0,0
Argentina,Torneo Campeonato 1931,Fecha 21,Oct 18 1931,Talleres (RdE),Chacarita Juniors,1,5
Argentina,Torneo Campeonato 1931,Fecha 21,Oct 18 1931,Tigre,Argentinos Juniors,0,0
Argentina,Torneo Campeonato 1931,Fecha 21,Oct 18 1931,Vélez Sarsfield,Racing,2,3
Argentina,Torneo Campeonato 1931,Fecha 22,Oct 25 1931,Argentinos Juniors,Vélez Sarsfield,4,2
Argentina,Torneo Campeonato 1931,Fecha 22,Oct 25 1931,Boca Juniors,Independiente,1,1
Argentina,Torneo Campeonato 1931,Fecha 22,Oct 25 1931,Chacarita Juniors,River Plate,1,0
Argentina,Torneo Campeonato 1931,Fecha 22,Oct 25 1931,Ferro,Atlanta,3,2
Argentina,Torneo Campeonato 1931,Fecha 22,Oct 25 1931,Gimnasia,Talleres (RdE),2,0
Argentina,Torneo Campeonato 1931,Fecha 22,Oct 25 1931,Huracán,Tigre,3,1
Argentina,Torneo Campeonato 1931,Fecha 22,Oct 25 1931,Quilmes,Estudiantes,2,4
Argentina,Torneo Campeonato 1931,Fecha 22,Oct 25 1931,Racing,San Lorenzo,5,0
Argentina,Torneo Campeonato 1931,Fecha 22,Jan 7 1932,Lanús,Platense,1,1
Argentina,Torneo Campeonato 1931,Fecha 23,Oct 31 1931,Atlanta,Independiente,0,1
Argentina,Torneo Campeonato 1931,Fecha 23,Nov 1 1931,Estudiantes,Ferro,8,0
Argentina,Torneo Campeonato 1931,Fecha 23,Nov 1 1931,Platense,Boca Juniors,3,5
Argentina,Torneo Campeonato 1931,Fecha 23,Nov 1 1931,Racing,Argentinos Juniors,3,1
Argentina,Torneo Campeonato 1931,Fecha 23,Nov 1 1931,River Plate,Gimnasia,4,1
Argentina,Torneo Campeonato 1931,Fecha 23,Nov 1 1931,San Lorenzo,Chacarita Juniors,0,0
Argentina,Torneo Campeonato 1931,Fecha 23,Nov 1 1931,Talleres (RdE),Quilmes,2,0
Argentina,Torneo Campeonato 1931,Fecha 23,Nov 1 1931,Tigre,Lanús,2,0
Argentina,Torneo Campeonato 1931,Fecha 23,Nov 1 1931,Vélez Sarsfield,Huracán,0,0
Argentina,Torneo Campeonato 1931,Fecha 24,Nov 11 1931,Argentinos Juniors,San Lorenzo,2,4
Argentina,Torneo Campeonato 1931,Fecha 24,Nov 11 1931,Atlanta,Platense,0,3
Argentina,Torneo Campeonato 1931,Fecha 24,Nov 11 1931,Boca Juniors,Tigre,3,2
Argentina,Torneo Campeonato 1931,Fecha 24,Nov 11 1931,Ferro,Talleres (RdE),3,1
Argentina,Torneo Campeonato 1931,Fecha 24,Nov 11 1931,Gimnasia,Chacarita Juniors,1,2
Argentina,Torneo Campeonato 1931,Fecha 24,Nov 11 1931,Huracán,Racing,2,4
Argentina,Torneo Campeonato 1931,Fecha 24,Nov 11 1931,Independiente,Estudiantes,3,2
Argentina,Torneo Campeonato 1931,Fecha 24,Nov 11 1931,Lanús,Vélez Sarsfield,0,2
Argentina,Torneo Campeonato 1931,Fecha 24,Nov 11 1931,Quilmes,River Plate,1,0
Argentina,Torneo Campeonato 1931,Fecha 25,Nov 15 1931,Argentinos Juniors,Huracán,1,1
Argentina,Torneo Campeonato 1931,Fecha 25,Nov 15 1931,Chacarita Juniors,Quilmes,4,1
Argentina,Torneo Campeonato 1931,Fecha 25,Nov 15 1931,Estudiantes,Platense,2,0
Argentina,Torneo Campeonato 1931,Fecha 25,Nov 15 1931,Racing,Lanús,4,2
Argentina,Torneo Campeonato 1931,Fecha 25,Nov 15 1931,River Plate,Ferro,2,0
Argentina,Torneo Campeonato 1931,Fecha 25,Nov 15 1931,San Lorenzo,Gimnasia,3,0
Argentina,Torneo Campeonato 1931,Fecha 25,Nov 15 1931,Talleres (RdE),Independiente,3,0
Argentina,Torneo Campeonato 1931,Fecha 25,Nov 15 1931,Tigre,Atlanta,1,1
Argentina,Torneo Campeonato 1931,Fecha 25,Nov 15 1931,Vélez Sarsfield,Boca Juniors,1,2
Argentina,Torneo Campeonato 1931,Fecha 26,Nov 22 1931,Atlanta,Vélez Sarsfield,1,1
Argentina,Torneo Campeonato 1931,Fecha 26,Nov 22 1931,Boca Juniors,Racing,0,1
Argentina,Torneo Campeonato 1931,Fecha 26,Nov 22 1931,Estudiantes,Tigre,3,0
Argentina,Torneo Campeonato 1931,Fecha 26,Nov 22 1931,Ferro,Chacarita Juniors,0,0
Argentina,Torneo Campeonato 1931,Fecha 26,Nov 22 1931,Huracán,San Lorenzo,1,1
Argentina,Torneo Campeonato 1931,Fecha 26,Nov 22 1931,Independiente,River Plate,2,1
Argentina,Torneo Campeonato 1931,Fecha 26,Nov 22 1931,Lanús,Argentinos Juniors,1,3
Argentina,Torneo Campeonato 1931,Fecha 26,Nov 22 1931,Platense,Talleres (RdE),2,1
Argentina,Torneo Campeonato 1931,Fecha 26,Nov 22 1931,Quilmes,Gimnasia,6,0
Argentina,Torneo Campeonato 1931,Fecha 27,Nov 29 1931,Argentinos Juniors,Boca Juniors,0,5
Argentina,Torneo Campeonato 1931,Fecha 27,Nov 29 1931,Chacarita Juniors,Independiente,1,3
Argentina,Torneo Campeonato 1931,Fecha 27,Nov 29 1931,Gimnasia,Ferro,1,3
Argentina,Torneo Campeonato 1931,Fecha 27,Nov 29 1931,Huracán,Lanús,2,0
Argentina,Torneo Campeonato 1931,Fecha 27,Nov 29 1931,Quilmes,San Lorenzo,1,1
Argentina,Torneo Campeonato 1931,Fecha 27,Nov 29 1931,Racing,Atlanta,4,1
Argentina,Torneo Campeonato 1931,Fecha 27,Nov 29 1931,River Plate,Platense,2,5
Argentina,Torneo Campeonato 1931,Fecha 27,Nov 29 1931,Talleres (RdE),Tigre,2,1
Argentina,Torneo Campeonato 1931,Fecha 27,Nov 29 1931,Vélez Sarsfield,Estudiantes,3,3
Argentina,Torneo Campeonato 1931,Fecha 28,Dec 6 1931,Atlanta,Argentinos Juniors,1,2
Argentina,Torneo Campeonato 1931,Fecha 28,Dec 6 1931,Boca Juniors,Huracán,2,1
Argentina,Torneo Campeonato 1931,Fecha 28,Dec 6 1931,Estudiantes,Racing,6,3
Argentina,Torneo Campeonato 1931,Fecha 28,Dec 6 1931,Ferro,Quilmes,1,0
Argentina,Torneo Campeonato 1931,Fecha 28,Dec 6 1931,Independiente,Gimnasia,1,1
Argentina,Torneo Campeonato 1931,Fecha 28,Dec 6 1931,Platense,Chacarita Juniors,0,1
Argentina,Torneo Campeonato 1931,Fecha 28,Dec 6 1931,San Lorenzo,Lanús,4,1
Argentina,Torneo Campeonato 1931,Fecha 28,Dec 6 1931,Talleres (RdE),Vélez Sarsfield,1,3
Argentina,Torneo Campeonato 1931,Fecha 28,Dec 6 1931,Tigre,River Plate,2,5
Argentina,Torneo Campeonato 1931,Fecha 29,Dec 8 1931,Argentinos Juniors,Estudiantes,1,0
Argentina,Torneo Campeonato 1931,Fecha 29,Dec 8 1931,Chacarita Juniors,Tigre,4,2
Argentina,Torneo Campeonato 1931,Fecha 29,Dec 8 1931,Ferro,San Lorenzo,1,4
Argentina,Torneo Campeonato 1931,Fecha 29,Dec 8 1931,Gimnasia,Platense,2,1
Argentina,Torneo Campeonato 1931,Fecha 29,Dec 8 1931,Huracán,Atlanta,5,0
Argentina,Torneo Campeonato 1931,Fecha 29,Dec 8 1931,Lanús,Boca Juniors,5,2
Argentina,Torneo Campeonato 1931,Fecha 29,Dec 8 1931,Quilmes,Independiente,1,2
Argentina,Torneo Campeonato 1931,Fecha 29,Dec 8 1931,Racing,Talleres (RdE),2,0
Argentina,Torneo Campeonato 1931,Fecha 29,Dec 8 1931,River Plate,Vélez Sarsfield,5,1
Argentina,Torneo Campeonato 1931,Fecha 30,Dec 13 1931,Atlanta,Lanús,1,2
Argentina,Torneo Campeonato 1931,Fecha 30,Dec 13 1931,Estudiantes,Huracán,4,1
Argentina,Torneo Campeonato 1931,Fecha 30,Dec 13 1931,Independiente,Ferro,2,1
Argentina,Torneo Campeonato 1931,Fecha 30,Dec 13 1931,Platense,Quilmes,3,0
Argentina,Torneo Campeonato 1931,Fecha 30,Dec 13 1931,River Plate,Racing,1,1
Argentina,Torneo Campeonato 1931,Fecha 30,Dec 13 1931,San Lorenzo,Boca Juniors,0,0
Argentina,Torneo Campeonato 1931,Fecha 30,Dec 13 1931,Talleres (RdE),Argentinos Juniors,2,1
Argentina,Torneo Campeonato 1931,Fecha 30,Dec 13 1931,Tigre,Gimnasia,1,2
Argentina,Torneo Campeonato 1931,Fecha 30,Dec 13 1931,Vélez Sarsfield,Chacarita Juniors,2,3
Argentina,Torneo Campeonato 1931,Fecha 31,Dec 20 1931,Argentinos Juniors,River Plate,2,4
