pais,torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Sarmiento,Instituto,1,2
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Argentinos Juniors,Rosario Central,3,2
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Newell's Old Boys,Platense,2,0
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Huracán,Defensa y Justicia,3,1
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Godoy Cruz,Barracas Central,0,1
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Independiente,Talleres,1,3
Argentina,Campeonato 2024,Fecha 1,May 10 2024,River Plate,Central Córdoba,3,0
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Riestra,San Lorenzo,1,0
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Tigre,Estudiantes,0,1
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Belgrano,Racing,4,4
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Lanús,Independiente Rivadavia,0,2
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Atlético Tucumán,Boca Juniors,1,0
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Gimnasia,Vélez Sarsfield,3,1
Argentina,Campeonato 2024,Fecha 1,May 10 2024,Unión,Banfield,1,0
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Independiente Rivadavia,Godoy Cruz,0,0
Argentina,Campeonato 2024,Fecha 2,May 18 2024,River Plate,Belgrano,3,0
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Defensa y Justicia,Gimnasia,1,1
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Instituto,Unión,1,1
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Barracas Central,Sarmiento,1,1
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Platense,Independiente,0,0
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Banfield,Huracán,1,1
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Talleres,Atlético Tucumán,2,0
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Central Córdoba,Boca Juniors,2,4
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Estudiantes,Riestra,2,0
Argentina,Campeonato 2024,Fecha 2,May 18 2024,San Lorenzo,Lanús,1,1
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Racing,Argentinos Juniors,3,0
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Rosario Central,Tigre,1,1
Argentina,Campeonato 2024,Fecha 2,May 18 2024,Vélez Sarsfield,Newell's Old Boys,1,0
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Riestra,Rosario Central,0,2
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Tigre,Racing,0,4
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Belgrano,Central Córdoba,2,1
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Lanús,Estudiantes,2,1
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Argentinos Juniors,River Plate,1,0
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Newell's Old Boys,Defensa y Justicia,1,0
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Boca Juniors,Talleres,0,0
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Huracán,Instituto,1,0
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Sarmiento,Independiente Rivadavia,0,1
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Gimnasia,Banfield,3,0
Argentina,Campeonato 2024,Fecha 3,May 24 2024,Independiente,Vélez Sarsfield,1,1
