torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Copa Sudamericana 2026,Fecha 4,May 07 2026,Carabobo-H,River-H,1,2
Copa Sudamericana 2026,Fecha 5,May 19 2026,AudaxItaliano-G,BarracasCentral-G,99,99
Copa Sudamericana 2026,Fecha 5,May 19 2026,MontevideoCityTorque-F,DepRiestra-F,99,99
Copa Sudamericana 2026,Fecha 5,May 19 2026,SaoPaulo-C,Millonarios-C,99,99
Copa Sudamericana 2026,Fecha 5,May 19 2026,AmericaDeCali-A,Tigre-A,99,99
Copa Sudamericana 2026,Fecha 5,May 19 2026,DepCuenca-D,DepRecoleta-D,99,99
Copa Sudamericana 2026,Fecha 5,May 20 2026,BostonRiver-C,OHiggins-C,99,99
Copa Sudamericana 2026,Fecha 5,May 20 2026,Olimpia-G,VascoDaGama-G,99,99
Copa Sudamericana 2026,Fecha 5,May 20 2026,Santos-D,SanLorenzo-D,99,99
Copa Sudamericana 2026,Fecha 5,May 20 2026,Gremio-F,Palestino-F,99,99
Copa Sudamericana 2026,Fecha 5,May 20 2026,IndepPetrolero-E,Botafogo-E,99,99
Copa Sudamericana 2026,Fecha 5,May 20 2026,River-H,Bragantino-H,99,99
Copa Sudamericana 2026,Fecha 5,May 21 2026,AcademiaPuertoCabello-B,Juventud-B,99,99
Copa Sudamericana 2026,Fecha 5,May 21 2026,AtleticoMineiro-B,Cienciano-B,99,99
Copa Sudamericana 2026,Fecha 5,May 21 2026,Racing-E,Caracas-E,99,99
Copa Sudamericana 2026,Fecha 5,May 21 2026,Blooming-H,Carabobo-H,99,99
Copa Sudamericana 2026,Fecha 5,May 21 2026,Macara-A,AlianzaAtletico-A,99,99
Copa Sudamericana 2026,Fecha 6,May 26 2026,Gremio-F,MontevideoCityTorque-F,99,99
Copa Sudamericana 2026,Fecha 6,May 26 2026,Millonarios-C,OHiggins-C,99,99
Copa Sudamericana 2026,Fecha 6,May 26 2026,Palestino-F,DepRiestra-F,99,99
Copa Sudamericana 2026,Fecha 6,May 26 2026,SaoPaulo-C,BostonRiver-C,99,99
Copa Sudamericana 2026,Fecha 6,May 26 2026,SanLorenzo-D,DepRecoleta-D,99,99
Copa Sudamericana 2026,Fecha 6,May 26 2026,Santos-D,DepCuenca-D,99,99
Copa Sudamericana 2026,Fecha 6,May 27 2026,AtleticoMineiro-B,AcademiaPuertoCabello-B,99,99
Copa Sudamericana 2026,Fecha 6,May 27 2026,Caracas-E,Botafogo-E,99,99
Copa Sudamericana 2026,Fecha 6,May 27 2026,Cienciano-B,Juventud-B,99,99
Copa Sudamericana 2026,Fecha 6,May 27 2026,Racing-E,IndepPetrolero-E,99,99
Copa Sudamericana 2026,Fecha 6,May 27 2026,Olimpia-G,AudaxItaliano-G,99,99
Copa Sudamericana 2026,Fecha 6,May 27 2026,Bragantino-H,Carabobo-H,99,99
Copa Sudamericana 2026,Fecha 6,May 27 2026,River-H,Blooming-H,99,99
Copa Sudamericana 2026,Fecha 6,May 27 2026,VascoDaGama-G,BarracasCentral-G,99,99
Copa Sudamericana 2026,Fecha 6,May 28 2026,AmericaDeCali-A,Macara-A,99,99
Copa Sudamericana 2026,Fecha 6,May 28 2026,Tigre-A,AlianzaAtletico-A,99,99
