torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Newell's Old Boys-A,Aldosivi-A,1,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Independiente-B,Gimnasia-B,2,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Instituto-B,Vélez Sarsfield-B,2,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Defensa y Justicia-A,Central Córdoba-A,2,1
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Estudiantes-A,Racing-A,2,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Tigre-A,Unión-A,1,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Argentinos Juniors-A,Platense-B,1,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Belgrano-A,Independiente Rivadavia-A,0,3
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Godoy Cruz-B,Talleres-B,0,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Atlético Tucumán-B,Riestra-B,0,3
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Aldosivi-A,Barracas Central-A,1,3
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Sarmiento-B,San Martín (SJ)-B,1,1
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Banfield-A,Belgrano-A,1,1
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Central Córdoba-A,Newell's Old Boys-A,2,0
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Huracán-A,Tigre-A,2,0
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Independiente Rivadavia-A,Estudiantes-A,2,2
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Unión-A,Argentinos Juniors-A,0,1
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Rosario Central-B,Atlético Tucumán-B,3,1
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Vélez Sarsfield-B,San Lorenzo-B,0,0
Torneo Apertura 2025,Fecha 4,Feb 6 2025,River Plate-B,Independiente-B,2,0
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Racing-A,Boca Juniors-A,2,0
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Riestra-B,Defensa y Justicia-A,99,99
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Platense-B,Instituto-B,99,99
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Gimnasia-B,Godoy Cruz-B,99,99
Torneo Apertura 2025,Fecha 4,Feb 6 2025,Talleres-B,Lanús-B,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Barracas Central-A,Central Córdoba-A,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Boca Juniors-A,Independiente Rivadavia-A,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Estudiantes-A,Banfield-A,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Belgrano-A,Aldosivi-A,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Tigre-A,Racing-A,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Riestra-B,Rosario Central-B,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Newell's Old Boys-A,Defensa y Justicia-A,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Argentinos Juniors-A,Huracán-A,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Independiente-B,Vélez Sarsfield-B,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Godoy Cruz-B,River Plate-B,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Lanús-B,Gimnasia-B,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,San Lorenzo-B,Platense-B,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,San Martín (SJ)-B,Talleres-B,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Atlético Tucumán-B,Sarmiento-B,99,99
Torneo Apertura 2025,Fecha 5,Feb 10 2025,Unión-A,Instituto-B,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Banfield-A,Boca Juniors-A,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Aldosivi-A,Estudiantes-A,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Defensa y Justicia-A,Barracas Central-A,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Central Córdoba-A,Belgrano-A,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Independiente Rivadavia-A,Tigre-A,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Racing-A,Argentinos Juniors-A,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Newell's Old Boys-A,Rosario Central-B,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,River Plate-B,Lanús-B,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Huracán-A,Unión-A,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Talleres-B,Atlético Tucumán-B,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Gimnasia-B,San Martín (SJ)-B,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Sarmiento-B,Riestra-B,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Platense-B,Independiente-B,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Instituto-B,San Lorenzo-B,99,99
Torneo Apertura 2025,Fecha 6,Feb 14 2025,Vélez Sarsfield-B,Godoy Cruz-B,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Riestra-B,Talleres-B,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Estudiantes-A,Central Córdoba-A,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Godoy Cruz-B,Platense-B,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Lanús-B,Vélez Sarsfield-B,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Rosario Central-B,Sarmiento-B,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Independiente-B,Instituto-B,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Boca Juniors-A,Aldosivi-A,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,San Martín (SJ)-B,River Plate-B,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Huracán-A,San Lorenzo-B,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Atlético Tucumán-B,Gimnasia-B,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Belgrano-A,Defensa y Justicia-A,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Unión-A,Racing-A,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Barracas Central-A,Newell's Old Boys-A,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Argentinos Juniors-A,Independiente Rivadavia-A,99,99
Torneo Apertura 2025,Fecha 7,Feb 20 2025,Tigre-A,Banfield-A,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Boca Juniors-A,Rosario Central-B,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Central Córdoba-A,Riestra-B,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,San Martín (SJ)-B,Belgrano-A,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Aldosivi-A,Sarmiento-B,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,River Plate-B,Estudiantes-A,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Talleres-B,Tigre-A,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Unión-A,Gimnasia-B,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Argentinos Juniors-A,Instituto-B,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Independiente Rivadavia-A,Lanús-B,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Vélez Sarsfield-B,Huracán-A,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Banfield-A,Independiente-B,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Platense-B,Defensa y Justicia-A,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Barracas Central-A,Godoy Cruz-B,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,San Lorenzo-B,Racing-A,99,99
Torneo Apertura 2025,Fecha 8,Feb 28 2025,Atlético Tucumán-B,Newell's Old Boys-A,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Banfield-A,Argentinos Juniors-A,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Vélez Sarsfield-B,San Martín (SJ)-B,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Central Córdoba-A,Boca Juniors-A,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,San Lorenzo-B,Independiente-B,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Racing-A,Huracán-A,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Platense-B,Lanús-B,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Sarmiento-B,Barracas Central-A,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Aldosivi-A,Tigre-A,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Defensa y Justicia-A,Estudiantes-A,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,River Plate-B,Atlético Tucumán-B,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Instituto-B,Godoy Cruz-B,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Newell's Old Boys-A,Belgrano-A,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Gimnasia-B,Riestra-B,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Independiente Rivadavia-A,Unión-A,99,99
Torneo Apertura 2025,Fecha 9,Mar 7 2025,Talleres-B,Rosario Central-B,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Argentinos Juniors-A,Aldosivi-A,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Godoy Cruz-B,San Lorenzo-B,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Riestra-B,River Plate-B,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Rosario Central-B,Gimnasia-B,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Estudiantes-A,Newell's Old Boys-A,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Huracán-A,Independiente Rivadavia-A,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Sarmiento-B,Talleres-B,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Independiente-B,Racing-A,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Boca Juniors-A,Defensa y Justicia-A,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Belgrano-A,Barracas Central-A,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Lanús-B,Instituto-B,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Tigre-A,Central Córdoba-A,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Unión-A,Banfield-A,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,Atlético Tucumán-B,Vélez Sarsfield-B,99,99
Torneo Apertura 2025,Fecha 10,Mar 14 2025,San Martín (SJ)-B,Platense-B,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Aldosivi-A,Unión-A,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Banfield-A,Huracán-A,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Barracas Central-A,Estudiantes-A,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Belgrano-A,Talleres-B,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Central Córdoba-A,Argentinos Juniors-A,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Defensa y Justicia-A,Tigre-A,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Gimnasia-B,Sarmiento-B,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Independiente Rivadavia-A,Racing-A,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Independiente-B,Godoy Cruz-B,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Instituto-B,San Martín (SJ)-B,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Newell's Old Boys-A,Boca Juniors-A,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Platense-B,Atlético Tucumán-B,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,River Plate-B,Rosario Central-B,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,San Lorenzo-B,Lanús-B,99,99
Torneo Apertura 2025,Fecha 11,Mar 30 2025,Vélez Sarsfield-B,Riestra-B,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Argentinos Juniors-A,Defensa y Justicia-A,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Atlético Tucumán-B,Instituto-B,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Boca Juniors-A,Barracas Central-A,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Rosario Central-B,Vélez Sarsfield-B,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Riestra-B,Platense-B,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Estudiantes-A,Belgrano-A,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Godoy Cruz-B,Independiente Rivadavia-A,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Huracán-A,Aldosivi-A,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Lanús-B,Independiente-B,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Racing-A,Banfield-A,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,San Martín (SJ)-B,San Lorenzo-B,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Sarmiento-B,River Plate-B,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Talleres-B,Gimnasia-B,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Tigre-A,Newell's Old Boys-A,99,99
Torneo Apertura 2025,Fecha 12,Apr 6 2025,Unión-A,Central Córdoba-A,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Aldosivi-A,Racing-A,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Banfield-A,Independiente Rivadavia-A,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Barracas Central-A,Tigre-A,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Belgrano-A,Boca Juniors-A,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Central Córdoba-A,Huracán-A,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Defensa y Justicia-A,Unión-A,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Gimnasia-B,Estudiantes-A,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Godoy Cruz-B,Lanús-B,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Independiente-B,San Martín (SJ)-B,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Instituto-B,Riestra-B,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Newell's Old Boys-A,Argentinos Juniors-A,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Platense-B,Rosario Central-B,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,River Plate-B,Talleres-B,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,San Lorenzo-B,Atlético Tucumán-B,99,99
Torneo Apertura 2025,Fecha 13,Apr 10 2025,Vélez Sarsfield-B,Sarmiento-B,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Argentinos Juniors-A,Barracas Central-A,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Atlético Tucumán-B,Independiente-B,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Boca Juniors-A,Estudiantes-A,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Rosario Central-B,Instituto-B,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Riestra-B,San Lorenzo-B,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Gimnasia-B,River Plate-B,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Huracán-A,Defensa y Justicia-A,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Independiente Rivadavia-A,Aldosivi-A,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Lanús-B,Banfield-A,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Racing-A,Central Córdoba-A,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,San Martín (SJ)-B,Godoy Cruz-B,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Sarmiento-B,Platense-B,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Talleres-B,Vélez Sarsfield-B,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Tigre-A,Belgrano-A,99,99
Torneo Apertura 2025,Fecha 14,Apr 20 2025,Unión-A,Newell's Old Boys-A,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Aldosivi-A,Banfield-A,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Barracas Central-A,Unión-A,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Belgrano-A,Argentinos Juniors-A,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Central Córdoba-A,Independiente Rivadavia-A,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Defensa y Justicia-A,Racing-A,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Estudiantes-A,Tigre-A,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Godoy Cruz-B,Atlético Tucumán-B,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Independiente-B,Riestra-B,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Instituto-B,Sarmiento-B,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Lanús-B,San Martín (SJ)-B,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Newell's Old Boys-A,Huracán-A,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Platense-B,Talleres-B,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,River Plate-B,Boca Juniors-A,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,San Lorenzo-B,Rosario Central-B,99,99
Torneo Apertura 2025,Fecha 15,Apr 28 2025,Vélez Sarsfield-B,Gimnasia-B,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Argentinos Juniors-A,Estudiantes-A,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Atlético Tucumán-B,Lanús-B,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Banfield-A,Central Córdoba-A,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Rosario Central-B,Independiente-B,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Riestra-B,Godoy Cruz-B,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Gimnasia-B,Platense-B,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Huracán-A,Barracas Central-A,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Independiente Rivadavia-A,Defensa y Justicia-A,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Racing-A,Newell's Old Boys-A,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,River Plate-B,Vélez Sarsfield-B,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,San Martín (SJ)-B,Aldosivi-A,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Sarmiento-B,San Lorenzo-B,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Talleres-B,Instituto-B,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Tigre-A,Boca Juniors-A,99,99
Torneo Apertura 2025,Fecha 16,May 4 2025,Unión-A,Belgrano-A,99,99
