torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Godoy Cruz-B,Rosario Central-B,0,3
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Tigre-A,Vélez Sarsfield-B,3,0
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Defensa y Justicia-A,Banfield-A,0,1
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Lanús-B,Riestra-B,0,2
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Newell's Old Boys-A,Independiente Rivadavia-A,0,1
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Barracas Central-A,Racing-A,1,3
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Independiente-B,Sarmiento-B,2,1
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Belgrano-A,Huracán-A,1,1
Torneo Apertura 2025,Fecha 1,Jan 23 2025,San Martín (SJ)-B,Atlético Tucumán-B,0,1
Torneo Apertura 2025,Fecha 1,Jan 23 2025,San Lorenzo-B,Talleres-B,1,0
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Estudiantes-A,Unión-A,3,1
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Instituto-B,Gimnasia-B,3,0
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Platense-B,River Plate-B,1,1
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Boca Juniors-A,Argentinos Juniors-A,0,0
Torneo Apertura 2025,Fecha 1,Jan 23 2025,Central Córdoba-A,Aldosivi-A,1,0
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Banfield-A,Newell's Old Boys-A,3,0
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Riestra-B,San Martín (SJ)-B,0,0
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Rosario Central-B,Lanús-B,2,1
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Sarmiento-B,Godoy Cruz-B,0,0
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Independiente Rivadavia-A,Barracas Central-A,0,0
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Vélez Sarsfield-B,Platense-B,0,1
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Gimnasia-B,San Lorenzo-B,0,2
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Talleres-B,Independiente-B,2,3
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Huracán-A,Estudiantes-A,0,0
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Unión-A,Boca Juniors-A,1,1
Torneo Apertura 2025,Fecha 2,Jan 27 2025,River Plate-B,Instituto-B,1,0
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Aldosivi-A,Defensa y Justicia-A,0,5
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Racing-A,Belgrano-A,4,0
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Argentinos Juniors-A,Tigre-A,1,0
Torneo Apertura 2025,Fecha 2,Jan 27 2025,Central Córdoba-A,Atlético Tucumán-B,2,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Barracas Central-A,Banfield-A,1,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,San Martín (SJ)-B,Rosario Central-B,0,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Lanús-B,Sarmiento-B,2,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,San Lorenzo-B,River Plate-B,0,0
Torneo Apertura 2025,Fecha 3,Feb 1 2025,Boca Juniors-A,Huracán-A,2,1
